Harry Potter,160
Hermione Granger,67
Voldemort,61
Ron Weasley,35
Bellatrix Lestrange,29
Severus Snape,28
Unnamed DE,26
Albus Dumbledore,24
Boggart,21
Draco Malfoy,21
Neville Longbottom,21
Dolores Umbridge,17
Dementors,13
Basilisk,12
Barty Crouch Jr.,12
Molly Weasley,11
Remus Lupin,10
Minerva McGonagall,9
Sirius Black,9
Nagini,8
Peter Pettigrew,8
Antonin Dolohov,7
Ginny Weasley,7
Thorfinn Rowle,7
Whomping Willow,7
Vincent Crabbe,6
Dobby,6
Fred Weasley,6
George Weasley,6
Luna Lovegood,6
James Potter,5
Quirinus Quirrell,5
Aberforth Dumbledore,4
Arthur Weasley,4
Aymcus Carrow,4
Barty Crouch Sr.,4
Filius Flitwick,4
Kingsley Shacklebolt,4
Nymphadora Tonks,4
Amos Diggory,3
Rubeus Hagrid,3
Gilderoy Lockhart,3
Cedric Diggory,3
Ernie MacMillion,3
Fawkes,3
Giants,3
Fernir Greyback,4
Gellert Grindelvald,3
Kreacher,3
Morfin Guant,3
Parvati Patil,3
Selwyn,3
Horace Slughorn,3
Alecto Carrow,2
Bloody Baron,2
Buckbeak,2
Centaurs,2
Cho Chang,2
Dean Thomas,2
Hannah Abbott,2
Gnomes,2
Viktor Krum,2
Madame Maxime,2
Alastor Moody,2
Mulciber,2
Narcissa Malfoy,2
Peeves,2
Percy Weasley,2
Seamus Finnagin,2
Sybill Trelawney,2
Unnamed Ministry,2
Unnamed Order,2
Yaxley,2
Anthony Goldstein,1
Antioch Peverell,1
Augusta Longbottom,1
Cadmus Peverell,1
Colin Creevey,1
John Dawlish,1
Dirk Cresswell,1
Dragon Keeper,1
Egbert the Egregious,1
Evan Rosier,1
Fleur Delacour,1
Fluffy,1
Greggory Goyle,1
Grawp,1
Hereward,1
Justin Finch-Fletchley,1
Lee Jordan,1
Loxias,1
Madam Hooch,1
Madam Pince,1
Marvolo Guant,1
Miles Bletchley,1
Mundungus Fletcher,1
Bob Ogden,1
Rufus Scrimgeour,1
Susan Bones,1
Terry Boot,1
Theft of EW,1
Travers,1
Urquhart,1
Xenophilias Lovegood,1
