Harry Potter,Gryffindor
Ron Weasley,Gryffindor
Hermione Granger,Gryffindor
Albus Dumbledore,Gryffindor
Rubeus Hagrid,Gryffindor
Neville Longbottom,Gryffindor
Fred Weasley,Gryffindor
George Weasley,Gryffindor
Molly Weasley,Gryffindor
Dean Thomas,Gryffindor
Seamus Finnigan,Gryffindor
Lily Potter,Gryffindor
James Potter,Gryffindor
Sirius Black,Gryffindor
Remus Lupin,Gryffindor
Peter Pettigrew,Gryffindor
Percy Weasley,Gryffindor
Arthur Weasley,Gryffindor
Charlie Weasley,Gryffindor
Lee Jordan,Gryffindor
Oliver Wood,Gryffindor
Angelina Johnson,Gryffindor
Katie Bell,Gryffindor
Alicia Spinnet,Gryffindor
Lavender Brown,Gryffindor
Parvati Patil,Gryffindor
Romilda Vane,Gryffindor
Colin Creevey,Gryffindor
Cormac McLaggen,Gryffindor
Minerva McGonagall,Gryffindor
Molly Weasley,Gryffindor
Arthur Weasley,Gryffindor
Quirinus Quirrell,Ravenclaw
Cho Chang,Ravenclaw
Luna Lovegood,Ravenclaw
Gilderoy Lockhart,Ravenclaw
Filius Flitwick,Ravenclaw
Sybill Patricia Trelawney,Ravenclaw
Garrick Ollivander,Ravenclaw
Moaning Myrtle,Ravenclaw
Padma Patil,Ravenclaw
Michael Corner,Ravenclaw
Marietta Edgecombe,Ravenclaw
Terry Boot,Ravenclaw
Anthony Goldstein,Ravenclaw
Severus Snape,Slytherin
Draco Malfoy,Slytherin
Vincent Crabbe,Slytherin
Gregory Goyle,Slytherin
Bellatrix Lestrange,Slytherin
Dolores Umbridge,Slytherin
Horace Slughorn,Slytherin
Lucius Malfoy,Slytherin
Narcissa Malfoy,Slytherin
Regulus Arcturus Black,Slytherin
Pansy Parkinson,Slytherin
Blaise Zabini,Slytherin
Voldemort,Slytherin
Theodore Nott,Slytherin
Rodolphus Lestrange,Slytherin
Millicent Bulstrode,Slytherin
Graham Montague,Slytherin
Bloody Baron,Slytherin
Marcus Flint,Slytherin
Penelope Clearwater,Ravenclaw
Roger Davies,Ravenclaw
Marcus Belby,Ravenclaw
Salazar Slytherin,Slytherin
Godric Gryffindor,Gryffindor
Rowena Ravenclaw,Ravenclaw
Nicholas de Mimsy-Porpington,Gryffindor
Cuthbert Binns,
Barty Crouch Jr,
Charity Burbage,
Firenze,
Alecto Carrow,Slytherin
Amycus Carrow,Slytherin
Helga Hufflepuff,Hufflepuff
Fat Friar,Hufflepuff
Helena Ravenclaw,Ravenclaw
Nymphadora Tonks,Hufflepuff
Pomona Sprout,Hufflepuff
Newton Scamander,Hufflepuff
Cedric Diggory,Hufflepuff
Justin Finch-Fletchley,Hufflepuff
Zacharias Smith,Hufflepuff
Hannah Abbott,Hufflepuff
Ernest Macmillan,Hufflepuff
Susan Bones,Hufflepuff
Walden Macnair,Slytherin
Augustus Rookwood,Slytherin
Antonin Dolohov,Slytherin
Corban Yaxley,Slytherin
Igor Karkaroff,Durmstrang Institute
Kingsley Shacklebolt,Gryffindor
Alastor Moody,Gryffindor
Alice Longbottom,Gryffindor
Frank Longbottom,Gryffindor
Rufus Scrimgeour,
Cornelius Oswald Fudge,
Barty Crouch Sr.,
Amos Diggory,Hufflepuff
Dedalus Diggle,Hufflepuff
Elphias Doge,Hufflepuff
Fleur Isabelle Delacour,Beauxbatons Academy of Magic
Aberforth Dumbledore,Ravenclaw
Mundungus Fletcher,Slytherin
Sturgis Podmore,
Hestia Jones,
Marlene McKinnon,
Fabian Prewett,
Gideon Prewett,
Emmeline Vance,
Edgar Bones,Hufflepuff
Dorcas Meadowes,
Benjy Fenwick,
Madame Olympe Maxime,Beauxbatons Academy of Magic
Gabrielle Delacour,Beauxbatons Academy of Magic
Viktor Krum,Durmstrang Institute
Petunia Dursley,
Vernon Dursley,
Dudley Dursley,
Marge Dursley,
Dennis Creevey,Gryffindor
Albus Severus Potter,Slytherin
Scorpius Hyperion Malfoy,Slytherin
Edward Remus Lupin,Hufflepuff
James Sirius Potter,Gryffindor
Rose Granger-Weasley,Gryffindor
Argus Filch,
Poppy Pomfrey,Hufflepuff
Rolanda Hooch,Gryffindor
Irma Pince,
Aurora Sinistra,
Septima Vector,
Wilhelmina Grubbly-Plank,Hufflepuff
Fenrir Greyback,
Gellert Grindelwald,
Dobby,
Kreacher,
Ginny Weasley,Gryffindor
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
