,
Harry Potter,"18,956"
Ron Weasley,"6,464"
Hermione Granger,"5,486"
Albus Dumbledore,"2,421"
Severus Snape,"1,956"
Voldemort,"1,797"
Rubeus Hagrid,"2,024"
Draco Malfoy,"1,198"
Fred Weasley,920
George Weasley,821
Ginny Weasley,771
Sirius Black,"1,471"
Minerva McGonagall,770
Neville Longbottom,810
James Potter,190
Lily Potter,127
Remus Lupin,864
Luna Lovegood,356
Lucius Malfoy,249
Molly Weasley,722
Bellatrix Lestrange,220
Peter Pettigrew,486
Percy Weasley,426
Arthur Weasley,780
Alastor Moody,583
Cedric Diggory,353
Katie Bell,116
Dobby,469
Bill Weasley,302
Cho Chang,215
Dudley Dursley,467
Viktor Krum,277
Dolores Umbridge,637
Gregory Goyle,228
Fleur Delacour,258
Vincent Crabbe,224
Filius Flitwick,140
Charlie Weasley,110
Petunia Dursley,314
Nymphadora Tonks,242
Vernon Dursley,530
Seamus Finnigan,179
Hedwig,204
Dean Thomas,212
Gilderoy Lockhart,262
Cornelius Fudge,493
Quirinus Quirrell,122
Sybill Trelawney,262
Nearly Headless Nick,123
Narcissa Malfoy,89
Barty Crouch Sr,295
Oliver Wood,208
Parvati Patil,133
Horace Slughorn,432
Argus Filch,288
Godric Gryffindor,63
Lavender Brown,141
Pomona Sprout,90
Salazar Slytherin,70
Kingsley Shacklebolt,106
Garrick Ollivander,117
Peeves,164
Crookshanks,162
Moaning Myrtle,119
Kreacher,312
Rita Skeeter,188
Angelina Johnson,135
Colin Creevey,77
Xenophilius Lovegood,124
Poppy Pomfrey,156
Pansy Parkinson,68
Aberforth Dumbledore,79
Igor Karkaroff,165
Buckbeak,136
Lee Jordan,109
Rufus Scrimgeour,153
Olympe Maxime,112
Winky,162
Fenrir Greyback,102
Mundungus Fletcher,147
Fang,105
Gellert Grindelwald,73
Bathilda Bagshot,77
Firenze,75
Marge Dursley,73
Ludo Bagman,246
Amos Diggory,76
Griphook,140
The Fat Lady,72
Frank Bryce,63
Ernie MacMillan,92
Cormac McLaggen,73
Stan Shunpike,85
Grawp,75
Marvolo Gaunt,68
Fawkes,64
Elphias Doge,62
Phineas Nigellus Black,89
Bob Ogden,68
Morfin Gaunt,63
